x[mm];y[mm];z[mm];u[m/s];v[m/s];w[m/s];lambda2;p[Pa]
1.999023437500000000e+00;5.956250000000000000e+01;2.749633789062500000e-02;2.260208129882812500e-03;-2.145385742187500000e-02;4.773139953613281250e-04;-2.681250000000000000e+01;1.467466354370117188e-01
2.025390625000000000e+00;5.850000000000000000e+01;6.304931640625000000e-02;-1.648902893066406250e-03;-2.375793457031250000e-02;2.624511718750000000e-03;-1.629687500000000000e+01;1.512765884399414062e-01
2.052734375000000000e+00;5.743750000000000000e+01;9.863281250000000000e-02;-3.517150878906250000e-03;-2.713012695312500000e-02;4.795074462890625000e-03;-4.144531250000000000e+00;1.688003540039062500e-01
2.080078125000000000e+00;5.637500000000000000e+01;1.341552734375000000e-01;-2.315521240234375000e-03;-3.025817871093750000e-02;6.671905517578125000e-03;-1.321875000000000000e+01;1.920461654663085938e-01
2.105468750000000000e+00;5.531250000000000000e+01;1.697998046875000000e-01;-1.057982444763183594e-04;-3.237915039062500000e-02;8.155822753906250000e-03;-8.585937500000000000e+00;2.351999282836914062e-01
2.132812500000000000e+00;5.421875000000000000e+01;2.053222656250000000e-01;7.414817810058593750e-04;-3.356933593750000000e-02;9.040832519531250000e-03;0.000000000000000000e+00;2.946853637695312500e-01
2.160156250000000000e+00;5.315625000000000000e+01;2.408447265625000000e-01;-7.981061935424804688e-05;-3.408813476562500000e-02;9.094238281250000000e-03;0.000000000000000000e+00;3.402233123779296875e-01
2.185546875000000000e+00;5.209375000000000000e+01;2.763671875000000000e-01;-1.376152038574218750e-03;-3.417968750000000000e-02;8.407592773437500000e-03;0.000000000000000000e+00;3.514289855957031250e-01
2.212890625000000000e+00;5.103125000000000000e+01;3.120117187500000000e-01;-1.987457275390625000e-03;-3.405761718750000000e-02;6.980895996093750000e-03;-1.264648437500000000e-01;3.311634063720703125e-01
2.240234375000000000e+00;4.996875000000000000e+01;3.476562500000000000e-01;-1.441955566406250000e-03;-3.451538085937500000e-02;4.154205322265625000e-03;-2.290625000000000000e+01;3.018379211425781250e-01
2.265625000000000000e+00;4.890625000000000000e+01;3.830566406250000000e-01;1.783370971679687500e-04;-3.668212890625000000e-02;-4.649162292480468750e-04;-3.550000000000000000e+01;2.937316894531250000e-01
2.292968750000000000e+00;4.784375000000000000e+01;4.187011718750000000e-01;2.084732055664062500e-03;-4.031372070312500000e-02;-5.447387695312500000e-03;-1.364062500000000000e+01;3.178119659423828125e-01
2.320312500000000000e+00;4.675000000000000000e+01;4.543457031250000000e-01;2.647399902343750000e-03;-4.382324218750000000e-02;-8.384704589843750000e-03;0.000000000000000000e+00;3.387928009033203125e-01
2.345703125000000000e+00;4.568750000000000000e+01;4.897460937500000000e-01;6.461143493652343750e-04;-4.589843750000000000e-02;-8.140563964843750000e-03;-4.953125000000000000e+00;3.201961517333984375e-01
2.373046875000000000e+00;4.462500000000000000e+01;5.253906250000000000e-01;-2.935409545898437500e-03;-4.760742187500000000e-02;-5.523681640625000000e-03;-2.698437500000000000e+01;2.872943878173828125e-01
2.400390625000000000e+00;4.356250000000000000e+01;5.610351562500000000e-01;-5.260467529296875000e-03;-5.139160156250000000e-02;-2.119064331054687500e-03;-3.332031250000000000e+00;2.892017364501953125e-01
2.425781250000000000e+00;4.250000000000000000e+01;5.966796875000000000e-01;-4.451751708984375000e-03;-5.850219726562500000e-02;1.038551330566406250e-03;0.000000000000000000e+00;3.283023834228515625e-01
2.453125000000000000e+00;4.143750000000000000e+01;6.323242187500000000e-01;-1.327514648437500000e-03;-6.781005859375000000e-02;3.641128540039062500e-03;0.000000000000000000e+00;3.726482391357421875e-01
2.480468750000000000e+00;4.034375000000000000e+01;6.674804687500000000e-01;1.691818237304687500e-03;-7.720947265625000000e-02;5.157470703125000000e-03;0.000000000000000000e+00;4.038810729980468750e-01
2.505859375000000000e+00;3.928125000000000000e+01;7.031250000000000000e-01;2.357482910156250000e-03;-8.538818359375000000e-02;4.222869873046875000e-03;0.000000000000000000e+00;4.222393035888671875e-01
2.533203125000000000e+00;3.821875000000000000e+01;7.387695312500000000e-01;-1.467466354370117188e-04;-9.210205078125000000e-02;-1.609325408935546875e-06;0.000000000000000000e+00;4.377365112304687500e-01
2.560546875000000000e+00;3.715625000000000000e+01;7.744140625000000000e-01;-4.592895507812500000e-03;-9.838867187500000000e-02;-6.069183349609375000e-03;0.000000000000000000e+00;4.508495330810546875e-01
